stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5
150,March_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11,20.5,NA,134,NA,NA
150,April_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.6,14,NA,115,NA,NA
150,May_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.5,15.6,NA,168,NA,NA
150,July_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12.8,18.4,NA,120,NA,NA
150,August_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",14.8,15.3,NA,120,NA,NA
150,September_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",19,24.2,NA,146,NA,NA
150,October_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",7.9,10.9,NA,63,NA,NA
150,November_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11.5,7.9,NA,232,NA,NA
150,December_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",14.3,20.4,NA,151,NA,NA
151,January_1995,Andhra Pradesh,Hyderabad,NA,Industrial Area,10.1,11.1,NA,39,NA,NA
151,February_1995,Andhra Pradesh,Hyderabad,NA,Industrial Area,14.4,11,NA,143,NA,NA
151,March_1995,Andhra Pradesh,Hyderabad,NA,Industrial Area,9.1,15.3,NA,102,NA,NA
151,April_1995,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.9,11.4,NA,70,NA,NA
151,May_1995,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.1,8.6,NA,75,NA,NA
